train/entropy_loss,train/clip_range,time/total_timesteps,train/policy_gradient_loss,time/time_elapsed,train/value_loss,train/clip_fraction,time/iterations,rollout/ep_rew_mean,train/loss,train/explained_variance,train/n_updates,train/learning_rate,rollout/ep_len_mean,train/approx_kl,time/fps
-0.9471783079206944,0.2,442368,-0.0018047546509478707,231,1624.524326324463,0.0,432,63.59889165000001,923.27587890625,0.4274830222129822,1724,0.0003,601.49,0.0014309243,1912
-0.6127071706578135,0.2,446464,-0.0016656165971653536,233,372.52524852752686,0.004638671875,436,62.24556825,108.9393539428711,0.5430862009525299,1740,0.0003,602.07,0.0023447957,1912
-0.973830096423626,0.2,450560,-0.0029411386567517184,235,372.690021276474,0.004150390625,440,63.22219649999998,155.78509521484375,0.5795016288757324,1756,0.0003,598.37,0.0019010818,1910
-0.8666420560330153,0.2,454656,-0.002971447062009247,237,362.55822491645813,0.0244140625,444,62.38962829,153.9976043701172,0.16181105375289917,1772,0.0003,601.02,0.0054631787,1911
-0.7745715081691742,0.2,458752,-0.0021271168734529056,240,950.5607171058655,0.00146484375,448,58.96227641,568.2084350585938,0.48132985830307007,1788,0.0003,580.05,0.002351968,1911
-1.03862036857754,0.2,462848,-0.006623297384066973,242,187.91371846199036,0.105224609375,452,63.28311112,58.66317367553711,0.5861005783081055,1804,0.0003,590.27,0.013574125,1911
-1.0752759259194136,0.2,466944,-0.001198052617837675,244,47.68711721897125,0.020751953125,456,59.95993233,35.10484313964844,0.8981979191303253,1820,0.0003,589.62,0.004855641,1911
-1.0455196695402265,0.2,471040,-0.008554907341022044,246,102.28098231554031,0.0361328125,460,62.87224690000001,34.65584182739258,0.6862228810787201,1836,0.0003,595.4,0.010524509,1911
-0.8548905309289694,0.2,475136,-0.0025724101869855076,248,220.88744449615479,0.01025390625,464,61.908953069999995,65.34207916259766,0.659484475851059,1852,0.0003,601.59,0.0023001155,1911
-0.9664385886862874,0.2,479232,-0.004848903234233148,250,200.5506910085678,0.1162109375,468,61.06948658,164.05682373046875,0.7908896654844284,1868,0.0003,592.52,0.012449652,1911
-0.9614652758464217,0.2,483328,-0.003583048663131194,252,26.339632973074913,0.036376953125,472,67.01297319999999,14.065417289733887,0.960007980465889,1884,0.0003,617.01,0.004318581,1911
-0.9714118959382176,0.2,487424,-0.002403380327450577,255,43.744932413101196,0.05126953125,476,64.33486921999999,16.903106689453125,0.9363344386219978,1900,0.0003,632.43,0.006045903,1911
-0.7198578286916018,0.2,491520,-0.0010367714203312062,257,256.11411809921265,0.004150390625,480,68.29065947,111.2033920288086,0.7930656969547272,1916,0.0003,644.27,0.0035540834,1911
-0.6479408740997314,0.2,495616,-0.001254078684723936,259,371.7644989490509,0.000732421875,484,68.21544331,206.65826416015625,0.6693761050701141,1932,0.0003,632.66,0.0011488075,1911
-1.0509396623820066,0.2,499712,-0.003195357567165047,261,78.9045937359333,0.0654296875,488,70.83228765000001,37.246768951416016,0.8391040563583374,1948,0.0003,620.54,0.01046099,1911
-0.6275646612048149,0.2,503808,-0.0015767565382702742,263,219.02250683307648,0.00927734375,492,70.58621635000002,72.66700744628906,0.6386240720748901,1964,0.0003,633.11,0.0027974453,1911
-1.0427914187312126,0.2,507904,-0.006425191109883599,265,32.536805763840675,0.079833984375,496,73.86764987000001,10.246111869812012,0.9464017152786255,1980,0.0003,654.82,0.012094775,1911
-1.016241136007011,0.2,512000,-0.0019802552051260136,267,39.64674398303032,0.0693359375,500,73.67146325,14.690746307373047,0.9276587292551994,1996,0.0003,663.89,0.008865274,1911
-0.9409724166616797,0.2,516096,-0.002265527356939856,269,150.2569358944893,0.002685546875,504,72.55944685,61.38740539550781,0.7011029124259949,2012,0.0003,669.62,0.0020179364,1911
-0.8636474953964353,0.2,520192,-0.0008323161491716746,272,533.5060932636261,0.001708984375,508,70.98228073,234.00735473632812,0.7614814937114716,2028,0.0003,673.64,0.0010736944,1911
